title,artist,duration,date,popularity,danceability,tempo
Mountain Valley (and Trey Songz),Peter Jackson,212149,2/11/22,33,0.655,128.966
Strangers,Nippandab,213720,2/4/22,23,0.763,125.014
By The Way,Asher Knight,170933,11/26/21,26,0.808,123.985
Drunk in Love,LUNAX,165428,5/14/21,64,0.645,140.041
In Your Sleep,GRY,153139,12/3/21,33,0.721,122.81
1000,Janji Yusuf,180692,10/15/21,23,0.517,102.881
Rapture - Tobtok Remix,Kendra Erika,198095,4/1/22,22,0.737,126.005
Downtown (Who Got The Funk?) - Limit3R Remix,Rawdolff,140742,3/4/22,23,0.929,128.02
Till the End,Just Liev,168629,10/15/21,21,0.641,123.993
Live Like A Kid Again,Max Vermeulen,168545,5/6/22,41,0.709,109.989
Stay,Dtrch,148009,6/3/22,41,0.718,124.04
Forever Young,Goldistic,168164,4/8/22,35,0.43,104.559
No Love,Caj Morgan,174915,7/30/21,22,0.699,118.031
DTF,Polar Gang,154047,1/22/21,21,0.693,125.999
PAINLESS,Josh A,147757,1/15/21,46,0.753,91.047
Walk Away,LNY TNZ,186412,6/17/21,0,0.501,150.048
Post Malone (feat. RANI),Sam Feldt,174444,8/16/19,65,0.59,107.356
Ciao x3,Son&Dad,148548,1/22/21,23,0.867,124.006
Life Has Just Begun,Rene Rodrigezz,159000,6/18/21,36,0.649,120.029
"It's Not Me, It's Jealousy",Mike Kelly,157047,2/4/22,21,0.767,103.972
Fight The Good Fight,Severman,218437,1/7/22,27,0.53,127.963
OVER,Polar Gang,156923,2/12/21,22,0.717,129.922
Beautiful Story,PW Music,147157,6/3/22,21,0.74,95.046
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,212352,9/17/21,82,0.741,150.087
Love To Lose,Sandro Cavazza,177731,2/19/21,66,0.601,195.943
Melody,Jake Shepherd,183686,10/8/21,21,0.599,110.114
Love Like,Deadzilla,243750,7/9/21,21,0.661,128.03
good 4 u,Olivia Rodrigo,178147,5/14/21,27,0.556,168.56
Blurred Lines,My Bad,199245,6/18/21,21,0.738,106.017
Turn off the Lights - VIP Edit,Niels Van Gogh,166666,1/28/22,31,0.744,125.992
Summer Feeling,Son&Dad,165714,1/8/21,22,0.691,105.146
Bag of Tricks,PW Music,192000,2/18/22,29,0.722,109.957
Somebody to Hold,Brod-Sky,188000,2/18/22,21,0.663,127.985
Take Your Pain,Daledo,145161,5/28/21,21,0.781,123.984
Dynamite,BTS,199053,11/20/20,13,0.746,114.044
Can't Go Home,Nate,150476,4/28/22,38,0.707,125.963
One Man Army,AMIIGO,200000,4/9/21,22,0.566,119.945
Sun On The Ocean,Kayote,158225,7/30/21,37,0.857,124.041
Closer to the Sun (feat. STORME),DJ SODA,159047,12/3/21,36,0.717,125.976
Love Like Fire,YUNA,139859,1/14/22,25,0.705,127.961
Physical,Dua Lipa,193829,3/27/20,76,0.647,146.967
NOSSA,Son&Dad,172800,7/30/21,23,0.731,125.077
ROCKSTAR (feat. Roddy Ricch),DaBaby,181733,4/17/20,80,0.746,89.977
Touch My Body,Polar Gang,173333,12/25/20,22,0.744,125.968
One Night - Radio Edit,Ravez,173367,3/25/22,21,0.556,130.035
Looking for Me,Paul Woolford,211452,6/24/20,64,0.641,121.027
Los Angeles,Polar Gang,170000,3/5/21,21,0.771,131.937
Blinding Lights,The Weeknd,200040,3/20/20,91,0.514,171.005
Don't Like You Like That,Polar Gang,161818,2/5/21,0,0.739,132.088
Big Boy Problems,A!MS,133560,11/26/21,20,0.801,96.815
Like We Do,Son&Dad,183050,1/15/21,22,0.721,118.007
Checkmate,Jena Rose,183225,6/11/21,47,0.68,93.026
We Could,Caj Morgan,200000,7/30/21,20,0.693,119.028
Jackie Chan,Ti'sto,215675,5/18/18,51,0.742,128.022
Endless Roads,Kayote,162960,4/23/21,36,0.654,125.095
Dreamers,Digrasso,176640,6/11/21,21,0.381,125.154
Coming Home,Kayote,161478,6/11/21,44,0.767,115.04
Back to You,Kayote,159840,7/31/20,37,0.729,125.037
Without You (feat. Sandro Cavazza),Avicii,181672,8/10/17,79,0.662,133.993
Off My Mind,Kayote,176097,3/5/21,38,0.82,122.926
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,199226,7/24/15,0,0.665,101.986
Upside Down,Robin Pors,184363,8/27/21,33,0.766,109.95
Higher,Digrasso,170000,8/27/21,21,0.548,129.942
Hypnotized,Purple Disco Machine,195657,4/8/20,68,0.69,108.078
Alive,ONEIL,158048,6/4/21,0,0.768,123.019
Like I Do,Stupid Goldfish,209004,9/3/21,23,0.698,122.944
Without You,Jay Dixie,144024,8/27/21,42,0.709,122.945
FTS,Brooke Daye,138389,8/20/21,35,0.563,170.066
Questions,Lost Frequencies,177156,6/3/22,77,0.599,123.962
Hate Me,Sam Feldt,154468,6/24/22,57,0.727,94.013
Luv is Luv,Afro Bros,198626,9/2/22,37,0.607,116.048
What's Coming Next?,Lucky Luke,178434,9/2/22,44,0.813,115.119
Spiritual,Paul Mayson,160312,9/2/22,45,0.673,128.039
Fuego,Dimitri Vegas & Like Mike,199357,9/2/22,70,0.704,95.94
Running To You (feat. Caden),VINAI,183090,7/29/22,65,0.579,124.09
Take Me Back,Lewis Thompson,129479,7/22/22,73,0.648,121.98
Heaven,Dimitri Vegas & Like Mike,178294,4/29/22,67,0.716,124.014
Follow Me,Sam Feldt,169672,12/10/21,74,0.673,122.023
