artist,followers,genres,popularity
Daniel Powter,236987,"['canadian pop', 'neo mellow', 'pop rock']",59
Joshua Garcia,34030,[],23
KZ Tandingan,824107,['opm'],54
The Company,21289,[],38
Callalily,1356678,"['opm', 'pinoy rock']",52
Anna Kendrick,320892,"['hollywood', 'movie tunes']",63
Lady Gaga,23199859,"['art pop', 'dance pop', 'pop']",85
James Bay,3718329,"['neo mellow', 'pop', 'uk pop']",72
Stanaj,59939,[],43
Ryan Gosling,41249,['hollywood'],55
Snow Patrol,2676521,"['irish rock', 'neo mellow', 'permanent wave', 'pop rock']",67
Inigo Pascual,470249,['opm'],46
LANY,4990150,"['la pop', 'pop']",75
Crush,1032167,"['k-pop', 'korean r&b']",67
Marshmello,34265820,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",83
Thomas Gold,163206,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",51
Boyz II Men,2568214,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",65
Grey,69265,['pop edm'],65
Sponge Cola,1091465,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",55
Luis Fonsi,10589263,"['latin pop', 'puerto rican pop']",75
Christian Bautista,444845,['opm'],52
Alicia Keys,9965145,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",77
Alex & Sierra,1110402,"['neo mellow', 'pop', 'post-teen pop', 'uk pop', 'viral pop']",61
Imagine Dragons,41941289,"['modern rock', 'rock']",88
Aaron Carter,278484,"['europop', 'post-teen pop']",44
Big Sean,10025366,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",79
Mikkel S. Eriksen,241,[],19
Nick Jonas,8333646,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",64
Jona,118424,['opm'],44
Sabrina Carpenter,4446049,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",74
KYLE,1020754,"['pop', 'pop rap', 'rap', 'viral rap']",66
Michael Bubl̩,5442693,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",74
BTS,54852457,"['k-pop', 'k-pop boy group']",91
Hugh Grant,6824,['hollywood'],46
Backstreet Boys,4729458,"['boy band', 'dance pop']",74
Mari̩ Digby,70755,"['lilith', 'neo mellow']",43
Edwin McCain,284369,"['neo mellow', 'pop rock']",53
Stephen Speaks,148324,"['acoustic pop', 'neo mellow', 'opm', 'pop rock', 'viral pop']",58
Sixpence None The Richer,401434,"['neo mellow', 'pop rock']",62
Jay R,148916,['opm'],43
OneRepublic,14199800,"['piano rock', 'pop', 'pop rock']",85
Kaye Cal,507939,['opm'],44
Post Malone,38166350,"['dfw rap', 'melodic rap', 'rap']",89
Kygo,8141776,"['edm', 'pop', 'pop dance', 'tropical house']",80
krissy & ericka,25508,['acoustic opm'],46
Lana Del Rey,17826122,"['art pop', 'pop']",87
Zedd,5807997,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'tropical house', 'uk pop']",75
Sam Hunt,2244172,"['contemporary country', 'country', 'country pop', 'country road']",70
Lorde,9865242,"['art pop', 'metropopolis', 'nz pop', 'pop', 'yakut pop']",76
Future,12142997,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",88
Khalid,15514315,"['pop', 'pop r&b']",86
Marian Hill,456654,['electropop'],55
Jax Jones,1055462,"['dance pop', 'edm', 'house', 'pop', 'pop dance','tropical house', 'uk dance', 'uk pop']",75
Daniel Padilla,475061,['opm'],53
C̩line Dion,6556787,['canadian pop'],73
Emma Watson,77566,"['disney', 'hollywood', 'movie tunes', 'show tunes']",51
Emma Thompson,3350,['show tunes'],49
Dan Stevens,5948,['disney'],49
Ewan McGregor,32380,['hollywood'],54
David Guetta,24728677,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",88
Dua Lipa,36295624,"['dance pop', 'pop', 'uk pop']",89
Leroy Styles,3743,['dutch edm'],27
Cheat Codes,2090377,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house', 'uk pop']",71
Kendrick Lamar,21452213,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",88
Harry Styles,23415953,['pop'],91
Paramore,7107098,"['candy pop', 'pixie', 'pop emo', 'pop punk']",76
Erik Santos,638384,['opm'],51
Lord Huron,1117415,"['indie folk', 'stomp and holler','indie']",72
Sigrid,647294,['norwegian pop'],62
DJ Khaled,8360497,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
French Montana,4657837,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
Shawn Hook,61285,['canadian pop'],46
Logic,5787092,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",77
Lil Uzi Vert,13778900,"['melodic rap', 'philly rap', 'rap', 'trap']",85
Miley Cyrus,18947928,"['dance pop', 'pop']",81
Camila Cabello,28023286,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",82
Claudia,23063,['pinoy r&b'],31
Childish Gambino,9808501,"['atl hip hop', 'hip hop', 'pop', 'rap']",78
Rita Ora,7605905,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",73
Thyro,11301,['opm'],46
Black Eyed Peas,6895996,"['dance pop', 'pop']",80
Taylor Swift,58894519,['pop'],94
Axwell /\ Ingrosso,2394309,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",66
Sam Feldt,710129,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",73
Sigala,1461862,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk pop']",73
Mayonnaise,922160,"['opm', 'pinoy rock']",55
BLACKPINK,32645668,"['k-pop', 'k-pop girl group']",89
Macklemore,1926952,"['pop rap', 'seattle hip hop']",76
Anjulie,29859,['canadian pop'],57
Secondhand Serenade,930307,"['neo mellow', 'piano rock', 'pixie', 'pop punk', 'pop rock']",56
Martin Solveig,1204553,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']",65
J Balvin,35298287,"['dance pop', 'reggaeton colombiano']",88
Kesha,7425874,"['dance pop', 'pop', 'post-teen pop']",76
Demi Lovato,23233872,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",81
EXO,9153346,"['k-pop', 'k-pop boy group']",69
