title,artist,duration,date,popularity,danceability,tempo
Breakfast At Denny's,Buckshot LeFonque,354640,2000,42,0.76,87.433
That Jazz,Coops,188764,2/2/18,41,0.65,88.848
First Law of Nature Rock Day (feat. Denmark Vessey),Dabrye,212546,2/16/18,41,0.754,94.007
Flowers On The Weekend,Asher Roth,152227,4/23/20,42,0.541,80.469
"Black Superhero [Feat. Killer Mike, BJ The Chicago Kid & Big K.R.I.T.]",Robert Glasper,355720,1/13/22,41,0.489,180.369
Avec Moi,Froid,202453,8/17/22,57,0.789,88.087
Poesia Ac̼stica 13,Pineapple StormTv,628124,9/20/22,78,0.572,127.982
Penelope,BIN,171513,1/28/22,63,0.718,120.009
Vida Toda - Spotify Singles,L7NNON,153245,10/13/21,68,0.755,129.833
Expectativas,3030,201459,7/1/22,54,0.75,136.937
Pensando Em N�_s - Ac̼stico,Nanno,193408,9/30/22,0,0.564,121.707
Bem Pra Mim,Altamira,207368,9/9/22,43,0.737,113.995
Poesia Ac̼stica 12 - Pra Sempre,Pineapple StormTv,472173,2/24/22,75,0.636,91.976
Amor Bandido,3030,244999,9/23/22,47,0.585,191.855
Golpe Baixo,Fabio Brazza,204000,9/28/22,0,0.488,83.103
A Culpa �� Minha,Matheusinho,197114,7/26/22,51,0.509,115.726
J�� Vou,Cortesia Da Casa,177015,7/15/22,54,0.563,94.43
Hoje Vou A�_ Te Ver,Stanley Castro,170086,9/30/22,0,0.742,115.085
Esbo̤o,Ikki,126853,9/23/22,34,0.794,123.064
Poesia Ac̼stica #9: Melhor Forma,Pineapple StormTv,611076,7/10/20,71,0.733,130.026
Problem��tico,Ikki,171106,4/22/22,48,0.653,129.447
Melhor Lugar,LUE,168031,6/17/22,46,0.628,80.891
Buzz Lightyear,Pineapple StormTv,253757,2/21/18,62,0.524,82.883
Session 2000 #1 - Nosso Caso,Malcolm VL,170668,6/3/22,45,0.725,89.929
Ac̼stico Altamira #1 - Ubatuba,Pel̩ MilFlows,336000,5/6/22,46,0.48,200.334
Se Faz de Louca,TG Marollie,148500,5/27/22,43,0.55,159.829
Peda̤o de Mim,OIK,202318,11/6/20,63,0.623,94.55
Vagabundo Tamb̩m Ama / Vida Longa Mundo Pequeno - Ac̼stico,Oriente,529597,7/25/14,55,0.552,79.947
Vegana,Alaska,196721,4/20/22,46,0.722,121.105
Poesia Ac̼stica 11: Nada Mudou,Pineapple StormTv,600000,6/23/21,71,0.725,119.985
At̩ o Final,Caio Luccas,144682,8/29/21,56,0.594,79.927
Afrodite,EXQUE��A TUDO PAPAI,187666,7/8/22,42,0.409,143.531
Pensei em Voc̻,Sadness :c,120178,2/25/22,47,0.741,143.93
Acorda,26:15:00,176924,4/28/22,41,0.562,84.456
Doc̻,Ikki,134769,3/25/22,44,0.726,129.87
Poesia Ac̼stica #6: Era uma Vez,Pineapple StormTv,577819,12/24/18,74,0.518,93.885
Perdi̤̣o,L7NNON,275000,8/23/19,67,0.842,119.989
Ap̻ 1001,BIN,171428,6/10/21,63,0.575,139.938
Pura Iluṣo,BIN,167348,11/11/21,59,0.484,127.119
Probleminha Di��rio (Papasessions #7),L7NNON,245625,11/6/20,59,0.621,81.916
Acabou (Papasessions #5) [feat. CALIFFA],Pk,259260,10/4/19,55,0.663,123.237
Poesia Ac̼stica 10: Recome̤ar,Pineapple StormTv,682816,11/27/20,68,0.739,142.055
MNB Quase Ac̼stico #4 - Coisa Louca,Ṃolee,276980,12/1/20,61,0.813,100.932
Poesia Ac̼stica - Paris,Pineapple StormTv,420000,3/19/20,64,0.692,87.98
Poesia Ac̼stica Ep. Acabou,Pineapple StormTv,270000,1/18/21,55,0.641,93.97
Mar�_lia Mendon̤a,BIN,113519,5/29/20,59,0.633,139.755
Poesia Ac̼stica Ep. Jeri,Pineapple StormTv,262978,1/25/21,52,0.805,110.008
Alma de Cigana,3030,131300,8/1/20,57,0.572,86.505
Mano Como Ela Fode,Gu,144000,3/11/21,44,0.731,170.117
War,Filipe Ret,152582,3/18/21,65,0.573,150.85
Saturno,BIN,186947,12/10/20,68,0.694,95.003
Berenice (Papasessions #6) [feat. CALIFFA],L7NNON,301546,3/27/20,58,0.705,160.144
Gerib�� (Papasessions #8) [feat. OIK],Papasessions,222576,3/5/21,58,0.814,129.769
Perfume,Konai,204088,2/13/20,57,0.558,85.445
Pipa Voada (feat. Emicida),Rashid,185333,1/22/20,62,0.758,90.038
Mnb Quase Ac̼stico #5 - Qual Vai?,Ṃolee,267000,4/30/21,42,0.575,81.305
Cigana,Malibu,265753,11/8/19,63,0.676,145.959
Melhor Assim,AURORA,302857,11/27/20,42,0.715,83.93
Sede de N�_s Dois,Card Principal,238451,3/12/21,42,0.662,155.888
Quantas Vezes?,2STRANGE,213333,7/10/20,40,0.833,134.982
Pede pra Ficar,Muzzike,175020,4/23/21,40,0.654,130.098
Mil Motivos,1Kilo,204939,10/23/20,43,0.491,175.575
Mina Certa,Altamira,146556,3/19/21,42,0.673,145.185
Amante - Ac̼stico,Maquiny,236045,12/17/20,53,0.492,116.028
Qu�_mica,MC Cabelinho,153413,3/24/20,55,0.684,91.283
Abre a porta,L7NNON,142500,2/6/20,54,0.635,95.995
Pra Praia,26:15:00,186297,4/19/21,52,0.597,85.435
Equa̤̣o,Mun-Ra,182205,8/7/20,48,0.611,117.825
Ac̼stico Altamira #8 - Leonina,Altamira,282666,8/10/20,44,0.572,89.253
Marginais Ac̼stico #1,Pk,226730,12/26/19,49,0.705,89.016
Ac̼stico Altamira #2 - Aquariana,Altamira,245398,1/29/20,44,0.538,90.966
Contratei o Tempo,Katari SC,216338,8/21/20,39,0.826,142.015
Voc̻ Ṇo Ama Ningu̩m 2,Pineapple StormTv,300000,1/27/20,56,0.652,135.994
O Final,Pel̩ MilFlows,192989,12/10/19,48,0.708,97.004
Poesia Ac̼stica #8: Amor e Samba,Pineapple StormTv,614615,12/15/19,62,0.667,156.016
Algumas frases,L7NNON,201724,4/24/20,54,0.621,116.079
Eu Ṇo Sou Ṭo Bom Assim,Pineapple StormTv,242526,7/26/19,65,0.806,94.991
Ṇo Volto,Felp 22,170666,10/4/19,49,0.543,88.496
"Pode Me Esperar (feat. Meucci, Tasdan & Agatha)",MTK,210012,9/6/19,42,0.689,104.068
Foda Que Ela �� Linda - Ao Vivo,3030,183693,9/6/19,42,0.649,147.929
Sheraton,Miszel,164858,9/13/22,72,0.583,150.031
Do Tanca,Malik Montana,154285,9/18/22,69,0.749,111.986
Ma��e Krople,Young Igi,164363,8/31/22,71,0.759,164.89
any�_owe �_elki,Chivas,133000,9/22/22,57,0.738,150.009
JESTEM POJ384NY,Mata,178856,8/11/22,77,0.681,140.041
KETCHUP,2115,188142,9/8/22,72,0.757,140.032
Mi��o�݀� na sprzeda�_,Pezet,199384,9/30/22,0,0.542,79.477
Pleasure,Young Igi,160551,9/26/22,52,0.905,144.997
Pi��kny �_wiat,Gibbs,233370,5/19/22,73,0.516,90.263
MISS ME,Kukon,178909,9/29/22,0,0.774,110.034
Nie Mam Czasu Na Wakacje,��abson,187058,6/30/22,72,0.887,135.966
Fiu Fiu,Kizo,161495,9/15/22,65,0.78,107.015
TURYSTA,2115,168230,8/4/22,71,0.844,130.043
Palma na blokach,Beteo,189093,9/30/22,0,0.832,132.06
kupi�� jej gaz czy torebk��?,Chivas,147374,9/15/22,68,0.641,159.973
Doja Cat,Oki,167058,6/9/22,71,0.859,101.979
Znikam,Gibbs,271704,8/4/22,64,0.706,88.544
SI�� WJE��D��A,W��ODAR,121333,7/23/21,67,0.907,89.983
Chainz,Szczyl,214813,9/30/22,0,0.792,126.003
dres,Miszel,175890,4/1/22,67,0.649,146.085
BEEF,White Widow,189633,9/9/22,65,0.682,161.83
Self Made,Malik Montana,114187,5/30/22,66,0.58,160.201
Oda do butli,Szymi Szyms,184017,9/20/22,57,0.708,116.064
kole�_anko mojej by��ej,Chivas,152666,9/22/22,66,0.648,164.902
XXL,Trill Pem,149333,9/27/22,10,0.705,179.951
"Pieni��dze, Dziewczyny, Zwrotki",Oki,183133,6/9/22,65,0.783,134.012
RiRi,White 2115,151106,6/24/22,70,0.821,135.079
Nie Z Tego �_wiata,��abson,195428,8/9/22,64,0.899,140.047
Fuego,Louis Villain,166000,9/29/22,0,0.885,119.998
BRUCE,2115,123749,7/19/22,67,0.817,129.971
HORYZONT,Asster,171712,8/12/22,62,0.892,136.897
Zanim przyjdzie dzie��,Gibbs,246000,9/4/22,60,0.839,119.949
200 os�_b w kawalerce,Kinny Zimmer,172233,5/13/22,65,0.916,140.057
Wjazd,Malik Montana,184980,8/19/22,66,0.639,187.486
M��ODY MA TO,BUHAJ KLAN,135306,7/21/22,62,0.842,145.162
W cenie,Kabe,199093,7/1/22,61,0.565,84.168
BEDOESIARA,2115,169428,5/26/22,69,0.921,104.986
ztb,Favst,207000,7/22/22,67,0.773,110.025
Pijemy Za Lepszy Czas,Smolasty,142657,5/27/22,72,0.709,143.134
Chabo,Guzior,178736,9/14/22,63,0.752,94.99
PATOPROHIBICJA (28.01.2022),Mata,197052,5/27/22,70,0.735,95.035
Jakie To Uczucie?,Oki,162935,5/16/22,70,0.822,109.034
La Manga,Alberto,180806,5/5/22,70,0.844,115.001
Bry��a (Club Edit),Kronkel Dom,155076,9/9/22,62,0.941,130.022
Tarcho Terror,Otsochodzi,87887,8/4/22,62,0.772,142.037
Bellucci,Louis Villain,194000,8/18/22,64,0.779,109.913
Sezon,Smolasty,132187,8/9/22,67,0.757,127.935
Ton��cy,Pezet,275887,9/21/22,55,0.721,106.981
Wi��cej,Diho,122571,9/13/22,55,0.571,139.859
VANILLA (Remix),FRIZ,187543,9/23/22,49,0.571,160.084
F̩nix,Liricistas,166069,5/27/22,34,0.723,87.937
Mil Vidas,Bubaseta,188764,2/18/22,45,0.656,87.844
Belleza,Movimiento Original,214378,11/5/21,52,0.662,88.512
Phiesta,Chystemc,199176,1/21/22,49,0.764,87.967
Verte Cerquita,Movimiento Original,232721,9/10/20,62,0.552,86.374
Tinta Extinta,Liricistas,208586,12/10/21,35,0.626,89.725
Ahora (Disfruta Pt. II),Cidtronyck,262460,10/1/21,49,0.789,85.974
La Paz,Aerstame,173710,6/17/22,36,0.712,92.052
Boombarrio,Chystemc,206929,2/26/21,54,0.687,100.022
LA SAGA,Jonas Sanche,233906,4/21/22,45,0.591,95.613
I Love You a Lo V�_o,Chystemc,311500,11/11/16,57,0.727,91.512
No Ver��n,Ambar Luna,205712,3/4/22,31,0.541,106.919
E. U. C. S. L.,Stailok,193273,12/17/21,35,0.652,90.943
Preparao,Movimiento Original,213770,8/23/17,54,0.708,89.882
III Figura,Como Asesinar a Felipes,212936,7/15/22,33,0.681,95.942
Lo Que No Te Cont̩,KMC,222682,10/15/21,36,0.868,90.033
Mi Camino,Aerstame,203076,12/13/19,33,0.618,87.333
Sexy,Gran Rah,262000,1/10/20,37,0.623,89.963
Amor de Rapper,Gran Rah,211001,4/24/20,30,0.696,93.054
Huye,Adickta Sinfon�_a,255483,4/8/22,33,0.754,92.969
Loba,EnSecreto,264226,8/27/18,44,0.857,88.996
1977,Ana Tijoux,201986,4/27/10,54,0.697,103.926
El Juego Verdadero,Tiro De Gracia,192293,12/4/20,24,0.849,95
No Te Miento,Aerstame,283692,4/16/21,39,0.516,86.585
Que Te Vaya Bien,Flor De Rap,180326,3/1/19,34,0.681,92.141
Flor Te Mata,Flor De Rap,172857,11/26/21,29,0.608,109.314
WATCH ME / NA' DE MI (feat. Antioch),Jonas Sanche,153623,9/23/21,29,0.575,139.985
Artista,Bubaseta,94551,7/30/21,32,0.629,127.022
Lil Dangerous,Nfx,216504,12/10/21,26,0.853,89.994
Mentirita Piadosa: Versi�_n 2,Bascur,173832,3/7/21,32,0.737,91.632
Mi Mejor Rima,ADIONE,222256,11/11/21,29,0.791,140.022
Hiphappy,El Shaaki,391000,1/8/21,34,0.737,95.104
Nuevo Comienzo,Cidtronyck,195226,11/14/17,50,0.827,91.983
Viejos Habitantes,Geoenezetao,137197,6/2/19,46,0.799,90.987
Sexy - Remix,Gran Rah,283379,9/11/20,35,0.677,90.049
Etc...,Movimiento Original,183298,4/3/20,30,0.755,95.778
Empezar Por M�_,Liricistas,209280,12/10/21,31,0.535,177.961
DA KNOWLEDGE,Jonas Sanche,168600,7/8/21,38,0.793,90.102
THE ROOKIE,Ak4:20,170306,7/10/21,52,0.748,90.012
Rimas Bravas,Adickta Sinfon�_a,262666,2/4/22,31,0.674,90.076
Por un Dolar,Cevlade,165817,5/15/20,24,0.665,85.864
T̩tricx$,Benour,170679,8/20/20,23,0.72,84.664
Salsa Pa Mojar,Uf Dog,221651,8/14/20,21,0.818,87.753
Ya Vendr��n,Liricistas,187399,6/4/21,25,0.726,136.033
Viaje Sin Rumbo - Cover,EnSecreto,215625,11/11/21,22,0.802,89.984
Lucha,AKACATS,206649,6/17/21,26,0.85,90.032
El Resultado,Mamborap,215550,7/30/21,27,0.851,92.08
Metamorfosis,Flor De Rap,219428,6/18/21,28,0.686,139.873
Libro Abierto - Remix,Lenwa Dura,173647,5/24/21,22,0.659,84.919
